feature,split,gain,total,null_imp,total_null
f003_pb0_flux_by_flux_ratio_sq_q75-m-q25-d-pb4_flux_by_flux_ratio_sq_q75-m-q25,0.03712824398560334,0.1079173703619206,0.14504561434752394,0.1400699727867636,0.00497564156076033
f003_pb0_lumi_max-d-pb3_lumi_max,0.049441182042053416,0.042656761084025295,0.09209794312607872,0.08747139950853439,0.004626543617544332
f003_pb2_lumi_median,0.05304034855086191,0.017433361581063008,0.07047371013192491,0.06598196399768896,0.004491746134235947
f002_flux_by_flux_ratio_sq_q90,0.03798067815874219,0.006196038485978822,0.04417671664472101,0.04066315496856157,0.0035135616761594393
fbk1-007_pb5_flux_std-d-mean,0.01515438530024626,0.054377628347377305,0.06953201364762357,0.06629465139532291,0.00323736225230066
f014_d1_lumi_q75-m-q25,0.05275620382648229,0.013193226778826457,0.06594943060530875,0.0634986622764714,0.002450768328837352
f017_pb3_lumi_q10,0.029551051335480208,0.04053384840272317,0.07008489973820338,0.06786256453253177,0.0022223352056716106
f014_d1_lumi_q75,0.02064784997158553,0.005213180171929173,0.025861030143514704,0.0236675932764822,0.002193436867032505
f003_pb1_lumi_max-m-min-d-pb4_lumi_max-m-min,0.040916840310664906,0.027218349352763276,0.06813518966342819,0.06705081885621597,0.001084370807212215
f003_pb0_flux_by_flux_ratio_sq_max-m-min-d-pb5_flux_by_flux_ratio_sq_max-m-min,0.05474521689713961,0.017393091768505224,0.07213830866564483,0.07164306868379433,0.0004952399818504982
f023_pb4_lumi_q25,0.0261413146429248,0.03150848030019534,0.057649794943120135,0.05815247786215475,-0.0005026829190346166
f015_pb4_d1_lumi_mean,0.0152491002083728,0.030987805784898688,0.04623690599327149,0.04735405621900621,-0.00111715022573472
f014_d1_flux_norm3_q25,0.07615078613373746,0.0029051865899887342,0.07905597272372619,0.08018073880239879,-0.0011247660786725955
f023_pb4_lumi_min,0.036275809812464484,0.049739509096910745,0.08601531890937522,0.08770876166719525,-0.0016934427578200323
